pattern_id,tier,documents,hits,negated
extincao_sem_merito,sanction,63260,91924,2977
representacao_irregular,conduct,33505,36134,248
ma_fe_processual_mencao,neighbour,21401,46261,3578
ma_fe_art_80,sanction,13741,17753,1247
demandas_repetitivas,neighbour,12676,20115,488
oficio_oab_ou_mp,sanction,7625,9469,529
requerimento_administrativo_previo,conduct,6951,12135,583
ato_atentatorio_art_77,sanction,6937,10389,616
recurso_protelatorio,neighbour,5632,9270,497
multa_ma_fe_art_81,sanction,5314,7261,409
causa_de_pedir_generica,conduct,5280,6745,179
pressao_beneficio_extraprocessual,conduct,4614,5456,1078
pedidos_vagos,conduct,4215,5174,212
ausencia_documentos_essenciais,conduct,3730,4270,174
gratuidade_sem_comprovacao,conduct,3184,3676,241
emenda_ou_indeferimento_inicial,sanction,2687,4124,66
firma_reconhecida,sanction,2469,3850,180
procuracao_irregular,conduct,2453,3603,185
abuso_direito_acao,neighbour,2316,3278,575
documentos_desatualizados,conduct,1816,2217,62
litigancia_predatoria,strict,1599,2986,201
valor_causa_aleatorio,conduct,1549,1871,16
tema_1198,normative,1295,2934,200
captacao_indevida,conduct,1268,1625,51
advocacia_predatoria,strict,1057,1609,159
ausencia_pretensao_resistida,conduct,937,1295,422
desconhecimento_da_acao,conduct,934,1053,47
numopede,normative,761,1020,73
apuracao_indicios,sanction,704,1421,60
fracionamento,conduct,604,926,27
litigancia_abusiva,strict,466,956,18
demanda_artificial,strict,349,471,24
comunicado_cg_tjsp,normative,337,545,31
autenticidade_postulacao,sanction,314,608,10
fracionamento_perifrase,conduct,184,221,4
art_286_ii,normative,172,337,6
comprovante_residencia_terceiro,conduct,171,205,15
lide_temeraria,neighbour,158,199,9
assinatura_nao_qualificada,conduct,82,126,9
peticoes_padronizadas,conduct,78,84,2
assedio_processual,strict,68,110,3
foro_distinto_domicilio,conduct,52,53,0
rec_cnj_159,normative,36,53,1
litigiosidade_artificial,strict,31,46,2
judicializacao_predatoria,strict,26,30,0
concentracao_poucos_patronos,conduct,26,26,3
notificacao_extrajudicial_sem_prova,conduct,14,18,0
desistencia_apos_indeferimento,conduct,12,13,3
cessao_direito_demandar,conduct,11,12,0
